Fwd Packet Length Min,Flow Bytes/s,Destination Port,Total Length of Fwd Packets,Bwd Packet Length Max,Total Backward Packets,Fwd Packet Length Max,Bwd Packet Length Std,Bwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Min,URG Flag Count,Flow Duration,Down/Up Ratio,Fwd Packet Length Mean,Total Fwd Packets,Total Length of Bwd Packets,Flow Packets/s
73.0,34703.53809050026,443,4158,1292.0,0,1292.0,632.2596776641699,831.6,632.2596776641699,73.0,0,0.11981487274169922,0.0,831.6,5,0,41.731046284872846
66.0,42153.500965760904,55596,4731,1292.0,1,1292.0,595.5439690296754,687.5714285714286,595.5439690296754,66.0,0,0.11417794227600098,0.16666666666666666,687.5714285714286,6,82,61.30781357995561
73.0,17743.522487546903,443,6113,1294.0,0,1294.0,450.3322466279105,359.5882352941176,450.3322466279105,73.0,0,0.34452009201049805,0.0,359.5882352941176,17,0,49.34400168301936
68.0,15479.72649152509,51933,4404,1242.0,1,1242.0,480.2360683233624,403.2857142857143,480.2360683233624,68.0,0,0.36473512649536133,0.07692307692307693,403.2857142857143,13,1242,38.38401893045542
79.0,79000000.0,53,79,79.0,0,79.0,0.0,79.0,0.0,79.0,0,1e-06,0.0,79.0,1,0,1000000.0
79.0,79000000.0,53,79,79.0,0,79.0,0.0,79.0,0.0,79.0,0,1e-06,0.0,79.0,1,0,1000000.0
79.0,79000000.0,53,79,79.0,0,79.0,0.0,79.0,0.0,79.0,0,1e-06,0.0,79.0,1,0,1000000.0
119.0,119000000.0,42391,0,119.0,1,119.0,0.0,119.0,0.0,119.0,0,1e-06,0.0,119.0,0,119,1000000.0
131.0,131000000.0,7559,0,131.0,1,131.0,0.0,131.0,0.0,131.0,0,1e-06,0.0,131.0,0,131,1000000.0
153.0,153000000.0,3217,0,153.0,1,153.0,0.0,153.0,0.0,153.0,0,1e-06,0.0,153.0,0,153,1000000.0
85.0,85000000.0,53,85,85.0,0,85.0,0.0,85.0,0.0,85.0,0,1e-06,0.0,85.0,1,0,1000000.0
85.0,85000000.0,53,85,85.0,0,85.0,0.0,85.0,0.0,85.0,0,1e-06,0.0,85.0,1,0,1000000.0
85.0,85000000.0,53,85,85.0,0,85.0,0.0,85.0,0.0,85.0,0,1e-06,0.0,85.0,1,0,1000000.0
113.0,113000000.0,16226,0,113.0,1,113.0,0.0,113.0,0.0,113.0,0,1e-06,0.0,113.0,0,113,1000000.0
101.0,101000000.0,39189,0,101.0,1,101.0,0.0,101.0,0.0,101.0,0,1e-06,0.0,101.0,0,101,1000000.0
135.0,135000000.0,36575,0,135.0,1,135.0,0.0,135.0,0.0,135.0,0,1e-06,0.0,135.0,0,135,1000000.0
75.0,75000000.0,53,75,75.0,0,75.0,0.0,75.0,0.0,75.0,0,1e-06,0.0,75.0,1,0,1000000.0
75.0,75000000.0,53,75,75.0,0,75.0,0.0,75.0,0.0,75.0,0,1e-06,0.0,75.0,1,0,1000000.0
75.0,75000000.0,53,75,75.0,0,75.0,0.0,75.0,0.0,75.0,0,1e-06,0.0,75.0,1,0,1000000.0
132.0,132000000.0,13868,0,132.0,1,132.0,0.0,132.0,0.0,132.0,0,1e-06,0.0,132.0,0,132,1000000.0
103.0,103000000.0,41173,0,103.0,1,103.0,0.0,103.0,0.0,103.0,0,1e-06,0.0,103.0,0,103,1000000.0
91.0,91000000.0,7447,0,91.0,1,91.0,0.0,91.0,0.0,91.0,0,1e-06,0.0,91.0,0,91,1000000.0
73.0,45274.9897807208,443,5443,1292.0,0,1292.0,597.5752393353214,907.1666666666666,597.5752393353214,73.0,0,0.12022089958190918,0.0,907.1666666666666,6,0,49.90812762894081
82.0,56832.04999311493,55535,5330,1292.0,1,1292.0,604.714808814866,902.0,604.714808814866,82.0,0,0.09522795677185059,0.2,902.0,5,82,63.00670730944005
